WBS Code,Responsible,Name,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01
N.GB.002110.01,Aris Manshor,FS-Eng-SNA Platform Backlog Dev,$30384,$30517,$26913,$25432,$27775,$28032,$27509,$27276,$28533,$28507,$26725,$18185
N.GB.002110.03,Aris Manshor,FS-Eng-SNA Platform S&M,$17,$17,$17,$17,$17,$17,$17,$17,$17,$17,$17,$13
N.GB.003270.01,Aris Manshor,FS-Eng-SNA Platform Dev Backlog,,,,,,,,,,,,$8529
N.GB.002117.01,Ciaran Finnegan,FS-Eng-AWS,$271,$368,$456,$198,$480,$1111,$644,$447,$436,$422,$432,$391
N.GB.002109.01,Isabel Van Dooren,FS-Eng-Compliance Dev,$947,$1949,$2083,$1896,$1512,$1407,$2609,$2594,$2665,$2387,$2445,$2640
N.GB.002109.02,Isabel Van Dooren,FS-Eng-Compliance S&M,$680,$771,$695,$537,$108,$108,$123,$96,$90,$106,$113,$70
N.GB.002109.03,Isabel Van Dooren,FS-Eng-Compliance WLM S&M,$458,$578,$836,$1491,$1098,$479,$333,$322,$417,$452,$172,$77
N.GB.002109.04,Isabel Van Dooren,FS-Eng-Compliance CDD / KYC S&M,$73,$30,$141,$91,$35,$172,$48,$103,$319,$310,$85,$25
N.GB.002109.07,Isabel Van Dooren,FS-Eng-Compliance 2019 investment,$1260,$1505,$1517,$1015,$862,$939,$1258,$895,$1213,$1222,$1007,$598
N.GB.002109.08,Isabel Van Dooren,FS-Eng-WLM Dev,$6126,$6297,$6516,$7005,$5505,$5679,$5106,$5257,$5701,$5808,$7038,$4466
N.GB.002109.09,Isabel Van Dooren,FS-Eng-CDD Dev,$3018,$3062,$3641,$2955,$3151,$2865,$3083,$3014,$3015,$2783,$3336,$2429
N.GB.002109.10,Isabel Van Dooren,FS-Eng-Notreveal CDD,$47,$179,$256,$287,$108,$25,$0,,,,$91,$42
N.GB.003269.01,Isabel Van Dooren,FS-Eng-Compliance Dev,,,,,,,,,,,,$1517
N.GB.003269.08,Isabel Van Dooren,FS-Eng-WLM Dev,,,,,,,,,,,,$3124
N.GB.003269.09,Isabel Van Dooren,FS-Eng-CDD Dev,,,,,,,,,,,,$1584
N.GB.002111.01,John Walls,FS-Eng-WLM V4.8/7.6 Dev,$22,$22,$22,$22,$22,$22,$22,$22,$22,$22,$22,$14
N.GB.002114.01,John Walls,FS-Eng-EIM Platform Dev,$12314,$13992,$15428,$11739,$9805,$8835,$7790,$8667,$8694,$10576,$14010,$12341
N.GB.002114.02,John Walls,FS-Eng-EIM Platform S&M,$185,$238,$248,$217,$218,$194,$175,$185,$196,$169,$157,$169
N.GB.002114.09,John Walls,FS-Eng-Notreveal UI,$366,$366,$356,$366,$351,$352,$351,$342,$385,$412,$448,$281
N.GB.002114.10,John Walls,FS-Eng-EIM Tech Modernisation 2019,$734,$753,$704,$675,$723,$798,$501,$491,$484,$396,$398,$333
N.GB.003272.01,John Walls,FS-Eng-EIM Platform Dev,,,,,,,,,,,,$3482
N.GB.003272.02,John Walls,FS-Eng-EIM Platform S&M,,,,,,,,,,,,$1708
N.GB.002112.01,Matthew Wilkins,FS-Eng-Advanced Analytics Platform,$3168,$5313,$4010,$1548,$1633,$1784,$1726,$1462,$1602,$1597,$1698,$996
N.GB.002118.01,Matthew Wilkins,FS-Eng RT Detection Engine Dev,$371,$405,$449,$376,$321,$335,$584,$811,$953,$947,$788,$506
N.GB.002118.02,Matthew Wilkins,FS-Eng RT Detection Engine S&M,$474,$565,$622,$533,$542,$477,$342,$439,$580,$481,$412,$211
N.GB.002122.02,Matthew Wilkins,FS-Eng-Bank Fraud S&M,$587,$607,$891,$683,$1033,$893,$889,$529,$615,$424,$390,$339
N.GB.002124.01,Matthew Wilkins,FS-Eng-AML Scen Man Big Data Dev,$828,$1097,$1282,$1067,$1155,$1195,$949,$684,$906,$916,$988,$840
N.GB.002649.01,Matthew Wilkins,FS-Eng-Scenario Manager DUX - Dev,$162,$114,$168,$145,$154,$127,$101,$136,$221,$147,$169,$144
N.GB.003271.01,Matthew Wilkins,FS-Eng-Analytics,,,,,,,,,,,,$560
N.GB.003275.01,Matthew Wilkins,FS-Eng-RT Detection Engine Dev,,,,,,,,,,,,$285
N.GB.003277.01,Matthew Wilkins,FS-Eng-AML Scen Man Big Data Dev,,,,,,,,,,,,$584
N.GB.003272.12,Mick Muldowney,FS-Eng-NGC Serverless,$6697,$9292,$9909,$8301,$11107,$11772,$12553,$12485,$16191,$12900,$13697,$14805
N.GB.002114.04,Paul Nolan,FS-Eng-NetReveal Eng Systems Team,$4524,$4074,$4639,$4646,$4440,$5342,$4637,$5021,$5801,$5323,$5691,$2967
N.GB.003272.04,Paul Nolan,FS-Eng-NetReveal Eng Systems Team,,,,,,,,,,,,$2429
