Issue Type,Priority,Issue key,Issue id,Summary,Assignee,Custom field (Source),Reporter,Status,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Custom field (Found in Build),Created,Resolution
Defect,3 - Medium,PLAT-24289,22607231,JBoss MDB Listener Handling,AManayangath,Norkom Support,WKhuan,New,,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.1.53,08/Sep/2022 02:24 AM,
Defect,3 - Medium,PLAT-24288,22607226,BOTW NGDE- Issue with Customer Entity profiles- Bulk profiling throws error,MWilkins,Norkom QA,sujatha.prabhu,New,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,8.1.x.x,07/Sep/2022 07:43 PM,
Defect,2 - High,PLAT-24285,22606511,Fingerprinting Function writes PI data to logs,RNathan,Westpac,RNathan,Rejected,,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,Base Platform,Services Manager,,,,8.4.1.3,30/Aug/2022 11:50 PM,Not a bug
Defect,3 - Medium,PLAT-24283,22605705,Regex with minimum length quantifier is not working with Wildcard Match,AManayangath,Norkom Services,tun.naungwin,New,,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.1.53,24/Aug/2022 10:17 AM,
Defect,3 - Medium,PLAT-24281,22605569,wqr_rule_scheduling_update_action failed to work with PostgreSQL,Pnolan,ANZ,BThen,New,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.4,23/Aug/2022 12:57 AM,
Defect,2 - High,PLAT-24279,22605449,SMBD - Issues with lifetime profile store robustness in presence of application failures,EBaggott,Norkom QA,DStobbs,New,,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,SMBD,,,,,8.4.1.10,19/Aug/2022 11:10 AM,
Defect,2 - High,PLAT-24275,22604879,Multi value field not generating Alert.,VSavkoor,BOA,KGudivada,New,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.1.0.58,12/Aug/2022 03:00 PM,
Defect,3 - Medium,PLAT-24272,22604628,Missing transformation for fields 98G/98H when both tags present in 15E sequence,EFitzgerald,Norkom QA,vincent.chin,New,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,NA,11/Aug/2022 09:18 AM,
Defect,3 - Medium,PLAT-24271,22604615,8.4.1.7.lst file not included in the platform artefact for core 8.4.1.8,,Norkom QA,zbyszko.nowak,Closed,8.4.1,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,virgin__virginmoney_v8-c1.0.0.0_FULL_76-c1.0.0.1__r8.4.1.0__v8.4.1.8.zip,11/Aug/2022 08:25 AM,Not a bug
Defect,1 - Critical,PLAT-24268,22604363,SAML integration failing in Bendigo Environment ,,Bendigo,KVatsa,Closed,,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,Base Platform,Tools,,,,8.4.1,09/Aug/2022 12:09 PM,Not a bug
