Issue Type,Priority,Issue key,Issue id,Summary,Assignee,Custom field (Source),Reporter,Status,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Custom field (Found in Build),Created,Resolution
Defect,3 - Medium,PLAT-23442,22542717,"CLONE - WLM ""KATEEBA EL-KAWTHAR KAK"" less than 85% match with ""KATEEBA AL-KAWTHAR KAK""",AManayangath,Norkom Services,RHome,New,,,,,,,,,,,,,,,,,,,,,,,7.5,7.6,7.7,8.0.1,8.1,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,"7.x, 8.x",16/Nov/2020 05:38 PM,
Defect,3 - Medium,PLAT-23440,22542672,NR8.1: Suspicious data present in Tag 50 is highlighted in wrong section under ‘Complete Swift Message’ section,,Norkom QA,SGanesan,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.1.0.14,16/Nov/2020 12:29 PM,Done
Defect,3 - Medium,PLAT-23438,22542648,CLONE - Issue starting application after deployment of 8.2 Vanilla EAR,nbird,Norkom QA,nbird,Rejected,8.2,,,,,,,,,,,,,,,,,,,,,,8.1,8.2,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,8.2.0.1,16/Nov/2020 09:06 AM,Not an issue
Defect,3 - Medium,PLAT-23441,22542638,CLONE - Command & Control: Overlapping Labels in chart,,Norkom Support,adilah.saiyidah,Closed,7.4,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Command and Control,,,,,TODO,16/Nov/2020 07:50 AM,Won't Fix
Defect,3 - Medium,PLAT-23437,22542622,NR8.1 : Error message displayed when large file uploaded in Case-Attachment,,Norkom QA,shernia.devarajan,Closed,8.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.1.0.14,16/Nov/2020 12:22 AM,Environmental Issue
Defect,2 - High,PLAT-23436,22542584,[CAR-21] Netreveal does not release threads when SOAP messages are processed,NBresnan,Cariparma,NBresnan,Rejected,,,,,,,,,,,,,,,,,,,,,,,8.0.1,,,,,,,,,,,,,,,,,,,,,,Other,,,,,8.0.1.11,13/Nov/2020 02:36 PM,Not an issue
Defect,3 - Medium,PLAT-23435,22542464,Duplicates alerts in extract utility on screen All Alerts,Pnolan,BNPP,monika.jagodzinska,New,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.0.0.2,12/Nov/2020 03:32 PM,
Defect,2 - High,PLAT-23434,22542376,No Weekly Alert After Passing the Exemption Expire Date,kmackenna1,Norkom Support,samuel.rompas,Assigned,,,,,,,,,,,,,,,,,,,,,,,6.7.2,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,6.7.2.12,12/Nov/2020 04:56 AM,
Defect,3 - Medium,PLAT-23432,22542244,"Metro v8 - RT CDD messages AND or OR getting converted to && or ||",,Norkom QA,charlotte.wightman,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,CDD_RTDE,Services Manager,,,,8.1.1,10/Nov/2020 04:27 PM,Duplicate
Defect,3 - Medium,PLAT-23430,22542076,[RZB-341] - Default UPPER to lower case normalisation doesn't work for Cyrillic words,raghav.pillai,Raiffeisen,raghav.pillai,Rejected,,,,,,,,,,,,,,,,,,,,,,,7.2.,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.0.15,09/Nov/2020 03:15 PM,Not an issue
Defect,3 - Medium,PLAT-23428,22541934,Groups CSV Export Report first column displays 'base_GroupCustomisedButton.tooltip',sailen.sannigrahi,Norkom QA,VSomaRaj,Assigned,8.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,8.1.0.25,09/Nov/2020 02:26 AM,
Defect,1 - Critical,PLAT-23426,22541819,Error in exporting Base Config,rramanan,Norkom QA,rramanan,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,7.6,06/Nov/2020 12:07 PM,
Defect,1 - Critical,PLAT-23425,22541799,Error in exporting Base Config,rramanan,Norkom QA,keeren.jayaselan,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,7.6,06/Nov/2020 11:20 AM,
Defect,2 - High,PLAT-23424,22541753,NR 8.1 - Audit Configuration settings wiped out while enabling audit for new Screens/Sections,Pnolan,NAB,SGanesan,Assigned,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.1.0.14,06/Nov/2020 04:09 AM,
Defect,3 - Medium,PLAT-23423,22541751,Profile Notes Overlapped in DowJones/Factiva,,Norkom QA,benjamin.au,Closed,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.0.1.4,06/Nov/2020 03:01 AM,Not an issue
Defect,3 - Medium,PLAT-23422,22541706,query IN clause split issue (list filters exported as normalization filters),AManayangath,Norkom QA,kslawinski,New,,,,,,,,,,,,,,,,,,,,,,,7.4,7.5,7.6,7.7,8.0,8.1,8.2,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.4.0.12,05/Nov/2020 01:23 PM,
Defect,3 - Medium,PLAT-23421,22541680,UT Scorecard is empty for some Matching Alerts,CECorrigan,Commerzbank,CECorrigan,Rejected,,,,,,,,,,,,,,,,,,,,,,,6.7.2,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,NA,05/Nov/2020 11:14 AM,Customer Timeout
Defect,1 - Critical,PLAT-23418,22541617,Fuzzy Extended Matching not working,JSyedMohhammad,United Overseas Bank,JSyedMohhammad,Resolved,8.2,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.1.0.25,05/Nov/2020 09:00 AM,Fixed
Defect,3 - Medium,PLAT-23420,22541597,NR8.1 - Unable to scroll disabled Memo field,Pnolan,NAB,SGanesan,Assigned,8.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.1.0.14,05/Nov/2020 05:50 AM,
Defect,3 - Medium,PLAT-23412,22541334,IWL Import Failed with Transaction Timeout Expired Error,AManayangath,Norkom QA,HSepteni,New,,,,,,,,,,,,,,,,,,,,,,,8.0.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.0.1.19,03/Nov/2020 04:36 AM,
Defect,2 - High,PLAT-23411,22541314,Display issue with the details of a worldcheck entry in alert,,Euroclear,TRomano,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.1.0.24,02/Nov/2020 02:52 PM,Environmental Issue
Defect,3 - Medium,PLAT-23410,22541296,[Report Builder] - charts displaying incorrectly or not displaying at all,,Norkom QA,brajewski,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Command and Control,,,,,8.1.0.0,02/Nov/2020 12:27 PM,Won't Do
Defect,2 - High,PLAT-23409,22541243,DS31 define under For Each Transaction record,ACheHassan,Norkom Services,ACheHassan,Rejected,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,SMBD,,,,8.1.0.8,02/Nov/2020 04:46 AM,Project Config Issue
Defect,3 - Medium,PLAT-23408,22541222,WLM List Auditing - Unable to see customer ID in List Auditing of all exclusion lists,,Norkom Services,NAdam,Closed,8.0.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,Watchlist Manager,,,, 8.1.0.25,02/Nov/2020 03:47 AM,Core Product Issue
Defect,3 - Medium,PLAT-23406,22540970,Bolding and Highlighting Issue,AManayangath,Norkom Support,samuel.rompas,Under Analysis,8.2,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.7.0.2,30/Oct/2020 08:00 AM,
Defect,3 - Medium,PLAT-23404,22540948,Horizontal scroll bar appears at the very end of the page instead of appearing at the end of the screen,,Norkom Services,NAdam,Closed,8.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,, 8.1.0.25,30/Oct/2020 03:30 AM,Core Product Issue
Defect,3 - Medium,PLAT-23405,22540928,NR 8.1 - Export Operation (>25K records) on Dashboard Reports Page failed,SGanesan,NAB,SGanesan,Rejected,8.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.1.0.14,29/Oct/2020 10:20 PM,Environmental Issue
Defect,2 - High,PLAT-23401,22540809,CLONE - Newly added group list not appearing on WorldCheck Lists screen,bgovindula,Norkom Services,bgovindula,Rejected,8.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.1.0.23,28/Oct/2020 07:34 PM,Project Config Issue
Defect,3 - Medium,PLAT-23397,22540703,Internal lists Alerts with no REASON_RAISED_ON_ID and REASON_RAISED_ON_REF_ID,ragulan.nedumaran,Norkom Support,ragulan.nedumaran,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.6.0.13,28/Oct/2020 03:47 AM,
Defect,2 - High,PLAT-23398,22540701,NR 8.1 : Transaction Timeout occurs while importing WLM Standard List > 10K records using 'Merge' method,,Norkom QA,SGanesan,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.1.0.14,28/Oct/2020 03:43 AM,Core Product Issue
Defect,3 - Medium,PLAT-23396,22540699,MT-999 - Field 79: Overlapped highlighting in the parsed field section. ,Divina.Dechamma,Norkom QA,Divina.Dechamma,Need More Info,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.1.0.14,28/Oct/2020 03:03 AM,
Defect,2 - High,PLAT-23394,22539501,FTS resulting in errors when trying to perform a search for specific strings,,Norkom QA,michael.zhan,Closed,8.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,8.1,26/Oct/2020 01:59 PM,Core Product Issue
Defect,3 - Medium,PLAT-23393,22539436,cloning of check fails when check contains multiple exceptions.,AManayangath,Norkom QA,JSamal,New,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.5.0.13,24/Oct/2020 12:38 PM,
Defect,3 - Medium,PLAT-23391,22539343,Export Report - records are not showing correctly when exporting in bulk,,Norkom QA,michelle.chan,Closed,8.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.1.0.25,23/Oct/2020 04:40 AM,Core Product Issue
Defect,2 - High,PLAT-23390,22539342,CLONE - NON_MDM Batch job are not completing once 'match text highlighter' error is encountered,,AXA,RJana,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.1.0.23,23/Oct/2020 04:27 AM,Done
Defect,2 - High,PLAT-23389,22539260,RTDE - CDD Real Time Scoring Time Out. ,,Norkom Services,ACheHassan,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,CDD_RTDE,,,,,8.1.0.7,22/Oct/2020 10:58 AM,Not an issue
Defect,2 - High,PLAT-23381,22538300,Entity Lock table does not get cleared when a user session teminates abruptly,Pnolan,Norkom Services,IKhalili,New,8.1,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,7.5.0.15,16/Oct/2020 03:59 PM,
Defect,1 - Critical,PLAT-23379,22538274,WLM Matching Not Working With Name+DOB+Gender,,United Overseas Bank,JSyedMohhammad,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.1.0.25,16/Oct/2020 11:26 AM,User Error
Defect,3 - Medium,PLAT-23378,22538271,Services Manager API credentials can be brute forced,Pnolan,Norkom Services,Pnolan,Under Analysis,8.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Services Manager,,,,,8.1.0.0,16/Oct/2020 11:16 AM,
Defect,2 - High,PLAT-23380,22538266,List size reduce to one line following some scenario,Pnolan,Euroclear,TRomano,Under Analysis,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.1.0.20,16/Oct/2020 10:26 AM,
Defect,3 - Medium,PLAT-23377,22538233,Large number of locked entities not clearing ,Pnolan,Norkom QA,yitwei.woo,New,,,,,,,,,,,,,,,,,,,,,,,7.2.1,7.5,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,7.2.1.53,16/Oct/2020 06:21 AM,
Defect,3 - Medium,PLAT-23376,22538005,Complete Message Highlighting - 59_na,harika.kurada,Norkom QA,harika.kurada,Resolved,8.0.1,,,,,,,,,,,,,,,,,,,,,,8.0.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.0.1,14/Oct/2020 04:44 AM,Fixed
Defect,3 - Medium,PLAT-23374,22537767,"Parsed Fields Highlighting when Multiple Matches - 70_text, 72_text, 77_text,79_text",AManayangath,Norkom QA,harika.kurada,New,,,,,,,,,,,,,,,,,,,,,,,8.0.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.0.1,12/Oct/2020 07:57 AM,
Defect,3 - Medium,PLAT-23370,22537630,WLM-ALERTMATCH-DATA service function return only data source field match/check condition against,EFitzgerald,Westpac,ZHtet,New,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Services Manager,Watchlist Manager,,,,8.0.1.18,09/Oct/2020 05:37 AM,
Defect,4 - Low,PLAT-23367,22537206,[FFO-233] - All Alerts and Home page – Screen Performance,AManayangath,Fin-Force,JSchweiss,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.5.0.13,06/Oct/2020 02:36 PM,
Defect,2 - High,PLAT-23366,22536707,WLM Matching Not Working Correctly With Variant Rules,AManayangath,Norkom Services,JSyedMohhammad,Resolved,8.2,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.1.0.23,30/Sep/2020 09:58 AM,Fixed
Defect,2 - High,PLAT-23357,22536460,[CIMBM-191] Real Time Customer Screening and Risk rating - Intermittent Issue,,Norkom QA,alvin.estanislao,Closed,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.6.0.10,28/Sep/2020 11:21 AM,Done
Defect,2 - High,PLAT-23361,22536418,Wrong section getting screen focus,,Norkom Services,mark.wilson22,Closed,8.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,, 8.1.0.23,28/Sep/2020 06:41 AM,Core Product Issue
Defect,3 - Medium,PLAT-23351,22535857, Scenario Manager Behaviour : - Customer profile screen got logged off in Alert screen,Pnolan,Norkom QA,vijayan.ponnuthurai,Assigned,7.6,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Application Builder,Base Platform,,,,7.6.0.0,22/Sep/2020 05:00 AM,
Defect,2 - High,PLAT-23349,22535829,CLONE - Importing Workflow Config triggers WF_LOGXPR_PRT_FK2 foreign key violoation,,Norkom QA,SPenta,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Workflow Configurator,,,,,8.1.1,21/Sep/2020 10:07 PM,Project Config Issue
Defect,4 - Low,PLAT-23534,22535735,'All Matches' in alerts: ... is displayed in Match Data with no pop-up,Pnolan,Norkom QA,harika.kurada,New,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,8.0.1,21/Sep/2020 08:22 AM,
Defect,1 - Critical,PLAT-23346,22535709,CLONE - PLAT 8.1.0.23 Pen Test Vulnerability - Formula Injection - Crossfilter section,,AXA,RJana,Closed,8.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.1.0.23,20/Sep/2020 06:57 PM,Core Product Issue
Defect,1 - Critical,PLAT-23345,22535706,CLONE - PLAT 8.1.0.23 Pen Test Vulnerability - CSS HomePage configuration screen,,AXA,RJana,Closed,8.0.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.1.0.23,18/Sep/2020 10:12 PM,Core Product Issue
Defect,2 - High,PLAT-23342,22535467,CLONE - Connection pool exhaustion when a use that is not in the USERS table accesses NetReveal via SSO,,AXA,RJana,Closed,8.1,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,8.1.0.21,16/Sep/2020 07:59 PM,Core Product Issue
Defect,2 - High,PLAT-23339,22535383,WLM Name Screening Fails due to Unique Key Constraint Error,chirag.jain,United Overseas Bank,chirag.jain,Rejected,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.1.0.27,16/Sep/2020 05:31 AM,Done
Defect,3 - Medium,PLAT-23338,22535365,[REGCDF-100] - Vulnerabilities Need Remediation -   Cross site scripting,,Norkom QA,adrian.berski,Closed,,,,,,,,,,,,,,,,,,,,,,,6.6.2,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,6.6.2.19,15/Sep/2020 05:13 PM,Done
Defect,3 - Medium,PLAT-23337,22535356,Unable to login to EIM with standard credentials,michal.lusiak,Norkom Services,michal.lusiak,Rejected,,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,GI,,,,,no,15/Sep/2020 03:05 PM,Environmental Issue
Defect,3 - Medium,PLAT-23347,22535258,[NRAX2037-691] Import Accuity list using append daily increment method failed.,,Norkom QA,NPota,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.1.0.21,14/Sep/2020 09:04 PM,Environmental Issue
Defect,3 - Medium,PLAT-23335,22535188,Interactive Lists: Moving and resizing columns allow you to sort an unsortable field,Pnolan,Norkom Services,nbird,New,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.5.0.15,14/Sep/2020 10:51 AM,
Defect,3 - Medium,PLAT-23334,22534880,Date Picker Filter in Matching Alerts section doesn't load results when clicked,Pnolan,Norkom QA,harika.kurada,Assigned,,,,,,,,,,,,,,,,,,,,,,,8.0.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.0.1.18,11/Sep/2020 08:36 AM,
Defect,3 - Medium,PLAT-23333,22534872,Data not updated in Transaction Worklist tables (UI) during SWIFT alert processing,,NAB,ukgarlapati,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.1.0.14,11/Sep/2020 08:07 AM,Configuration Issue
Defect,3 - Medium,PLAT-23332,22534860,Unable to display linked alert and unlink it from current alert section,,Norkom QA,YWong1,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.1.0.14,11/Sep/2020 03:59 AM,Won't Do
Defect,3 - Medium,PLAT-23330,22534825,Queueing and Routing Subscriptions do not work for more then 10 items,Pnolan,Nordea,mrogacki1,New,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Other,,,,,7.7.0.12,10/Sep/2020 03:22 PM,
Defect,2 - High,PLAT-23327,22534630,CLONE - AML Scenario Manager - Takes more than 25 mins to open in UAT environment,MCashman,Piraeus Bank,timoslamprinopoulos,New,,,,,,,,,,,,,,,,,,,,,,,8.0.1,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,8.0.1.9,09/Sep/2020 12:04 PM,
Defect,3 - Medium,PLAT-23323,22534180,[MSNFU-70] - £ displaying as Ã£ in NFUM Prod,,Norkom QA,pdspencer,Closed,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,GI,,,,,7.3.1.4,04/Sep/2020 12:04 PM,Fixed
Defect,3 - Medium,PLAT-23324,22533994,"Great Eastern - ""NOT"" in address will be display as ""!"" on UI",Pnolan,Norkom QA,HSepteni,New,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.0.1.4,03/Sep/2020 04:57 AM,
Defect,2 - High,PLAT-23322,22533982,[ZNB-165] Monthly Profiling Not Generating Parquet Files ,,Norkom QA,KYalamarthi,Closed,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,7.7,02/Sep/2020 09:52 PM,User Error
Defect,3 - Medium,PLAT-23321,22533882,Unable to Create Temporary File During WLM Batch Processing ,AManayangath,Norkom Support,WKhoo,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.6.0.15,02/Sep/2020 11:33 AM,
Defect,3 - Medium,PLAT-23439,22533792,Sort order in exported file is not guaranteed if no ORDER BY clause is added to the query,JLalor,Norkom QA,DKnyazev,Assigned,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,8.1.0.22,01/Sep/2020 03:11 PM,
Defect,3 - Medium,PLAT-23318,22533757,Incorrect warning message,Pnolan,Norkom Services,ADuggan,New,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Services Manager,,,,,8.0.0.2,01/Sep/2020 12:42 PM,
Defect,3 - Medium,PLAT-23312,22533704,"WLM Configuration Import (Refresh) Failing due to ""ORA-01000: maximum open cursors exceeded""",AManayangath,Norkom Services,ZHtet,New,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.4.0.14,01/Sep/2020 04:45 AM,
Defect,3 - Medium,PLAT-23311,22533690,Strange locking behaviour ,aalwelch,Norkom QA,aalwelch,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,P&C,,,,,RSA,01/Sep/2020 12:01 AM,
Defect,3 - Medium,PLAT-23314,22533689,[NRAX2037-673]Unable to import WLM List in 8.1.1 ,,Norkom QA,SPenta,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,, 8.1.0.21,31/Aug/2020 11:55 PM,Not an issue
Defect,2 - High,PLAT-23309,22533676,CA INDOSUEZ  Alert extraction not taking into account applayer settings,NBaslih,Norkom QA,TRomano,New,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.4,31/Aug/2020 03:12 PM,
Defect,2 - High,PLAT-23308,22533643,WLM-config import failing due to fpfasublis0_.list_definition_id does not exist,,NAB,ukgarlapati,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.1.0.14,31/Aug/2020 10:31 AM,Specification/Design Issue
Defect,3 - Medium,PLAT-23307,22533582,[REGCDF-95] - Vulnerabilities Need Remediation,adrian.berski,Norkom QA,adrian.berski,Resolved,6.6.2,,,,,,,,,,,,,,,,,,,,,,6.6.2,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,6.6.2.19,28/Aug/2020 02:29 PM,Fixed
Defect,2 - High,PLAT-23306,22533539,Queries Regarding Update on Last Updated Timestamp Column in Worldcheck tables,AManayangath,Norkom QA,JSamal,New,,,,,,,,,,,,,,,,,,,,,,,8.0.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.0.1.10,28/Aug/2020 08:25 AM,
Defect,3 - Medium,PLAT-23305,22533481,[OPB-331] NoClassDefFoundError for org.apache.commons.csv.CSVFormat,Pnolan,OPB,NBresnan,Under Analysis,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,7.6.0.16,27/Aug/2020 02:05 PM,
Defect,2 - High,PLAT-23304,22533463,EIM v8.1 Oracle Database securefile for CLOB/BLOB columns,,Norkom Services,ACheHassan,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Database,,,,,8.1.0.8,27/Aug/2020 11:28 AM,Environmental Issue
Defect,1 - Critical,PLAT-23303,22533433,Wildcard algorithm is not working if any leading space or special character is present,harika.kurada,Norkom QA,harika.kurada,Rejected,,,,,,,,,,,,,,,,,,,,,,,8.0.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.0.1.5,27/Aug/2020 06:10 AM,Core Product Issue
Defect,3 - Medium,PLAT-23302,22533336,filtering.processing.link.nolink.references system parameter values not working,,Norkom Services,RSatoor,Closed,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.0.1.18,26/Aug/2020 01:27 PM,Not a bug
Defect,3 - Medium,PLAT-23299,22533184,"Parsed Fields - Missing Highlight of hit information (Swift 40_text, 45_text, 46_text, 47_text)",AManayangath,Norkom QA,harika.kurada,New,,,,,,,,,,,,,,,,,,,,,,,7.4,8.0.1,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.0.1.5,25/Aug/2020 07:58 AM,
Defect,2 - High,PLAT-23298,22533160,CLONE - WLM configuration import is throwing an error while inserting data to audit log,Pnolan,Norkom Services,bgovindula,Assigned,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,Base Platform,Watchlist Manager,,,,8.1.0.19,24/Aug/2020 07:57 PM,
Defect,4 - Low,PLAT-23310,22532981,Copy Data workflow function and default sourceAndTargetDataSourcesAreSame,Pnolan,Norkom Services,PBaranski,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Workflow Configurator,,,,,4.8.0.0,21/Aug/2020 12:52 PM,
