Linked Account ID,257025567285,
Linked Account Name,NOTREVEAL ($),Total cost ($)
Linked Account Total,136598.62286248023,136598.62286248023
2021-11-01,8934.9879074125,8934.9879074125
2021-12-01,9413.8027656308,9413.8027656308
2022-01-01,10225.5927157519,10225.5927157519
2022-02-01,10369.2271552532,10369.2271552532
2022-03-01,13688.6182090822,13688.6182090822
2022-04-01,9989.3426796621,9989.3426796621
2022-05-01,9950.920773968,9950.920773968
2022-06-01,11977.6886168115,11977.6886168115
2022-07-01,12220.1180632677,12220.1180632677
2022-08-01,13526.9624549791,13526.9624549791
2022-09-01,12913.6986020499,12913.6986020499
2022-10-01,13387.6629186113,13387.6629186113
